# timestamp (ns), altitide (m)
1631087923893101568,1.348910000000000e+02
1631087924149976576,1.349040000000000e+02
1631087924405693440,1.349130000000000e+02
1631087924639226624,1.349210000000000e+02
1631087924891297792,1.349210000000000e+02
1631087925145659648,1.349220000000000e+02
1631087925403005440,1.349060000000000e+02
1631087925642297600,1.349010000000000e+02
1631087925900394752,1.349030000000000e+02
1631087926154973440,1.349110000000000e+02
1631087926410985472,1.349090000000000e+02
1631087926645182720,1.349060000000000e+02
1631087926886779392,1.349100000000000e+02
1631087927148776704,1.349240000000000e+02
1631087927404014336,1.349370000000000e+02
1631087927638670080,1.349480000000000e+02
1631087927907798528,1.349670000000000e+02
1631087928141651968,1.349860000000000e+02
1631087928398494720,1.350070000000000e+02
1631087928647163648,1.350190000000000e+02
1631087928903571200,1.350220000000000e+02
1631087929137374464,1.350280000000000e+02
1631087929416206080,1.350290000000000e+02
1631087929649064448,1.350330000000000e+02
1631087929906323200,1.350370000000000e+02
1631087930139387136,1.350300000000000e+02
1631087930397725440,1.350250000000000e+02
1631087930642856448,1.350230000000000e+02
1631087930897698560,1.350380000000000e+02
1631087931152687616,1.350510000000000e+02
1631087931409789952,1.350550000000000e+02
1631087931642707968,1.350560000000000e+02
1631087931897792256,1.350560000000000e+02
1631087932154505472,1.350520000000000e+02
1631087932411283968,1.350440000000000e+02
1631087932643937792,1.350370000000000e+02
1631087932897691136,1.350240000000000e+02
1631087933153389568,1.350030000000000e+02
1631087933410751744,1.349730000000000e+02
1631087933645438720,1.349360000000000e+02
1631087933901420800,1.349060000000000e+02
1631087934157234688,1.348960000000000e+02
1631087934413716992,1.349020000000000e+02
1631087934645081600,1.349060000000000e+02
1631087934902226176,1.349210000000000e+02
1631087935157590528,1.349410000000000e+02
1631087935414485504,1.349630000000000e+02
1631087935637453056,1.349880000000000e+02
1631087935893452032,1.350170000000000e+02
1631087936149819648,1.350380000000000e+02
1631087936405482496,1.350470000000000e+02
1631087936652778752,1.350580000000000e+02
1631087936906671360,1.350690000000000e+02
1631087937141914624,1.350870000000000e+02
1631087937398636544,1.351150000000000e+02
1631087937637035264,1.351420000000000e+02
1631087937900430080,1.351660000000000e+02
1631087938155799296,1.351810000000000e+02
1631087938413247232,1.352060000000000e+02
1631087938637668864,1.352290000000000e+02
1631087938894014208,1.352470000000000e+02
1631087939146406144,1.352620000000000e+02
1631087939405797120,1.352680000000000e+02
1631087939638354944,1.352620000000000e+02
1631087939899777536,1.352310000000000e+02
1631087940155072256,1.351970000000000e+02
1631087940411539968,1.351600000000000e+02
1631087940639843840,1.351250000000000e+02
1631087940893026304,1.350980000000000e+02
1631087941151134976,1.350690000000000e+02
1631087941407831040,1.350500000000000e+02
1631087941638441216,1.350410000000000e+02
1631087941893177344,1.350280000000000e+02
1631087942149193472,1.350160000000000e+02
1631087942405722368,1.350070000000000e+02
1631087942639418112,1.349950000000000e+02
1631087942889373184,1.349850000000000e+02
1631087943143868160,1.349630000000000e+02
1631087943400355584,1.349360000000000e+02
1631087943644981760,1.349070000000000e+02
1631087943902635520,1.348780000000000e+02
1631087944159113984,1.348430000000000e+02
1631087944416244992,1.348260000000000e+02
1631087944648241408,1.348070000000000e+02
1631087944902140416,1.347930000000000e+02
1631087945158037248,1.347760000000000e+02
1631087945392396800,1.347720000000000e+02
1631087945638432512,1.347730000000000e+02
1631087945906839808,1.347860000000000e+02
1631087946140427776,1.347880000000000e+02
1631087946397391360,1.347720000000000e+02
1631087946651210496,1.347470000000000e+02
1631087946903752192,1.347250000000000e+02
1631087947158867456,1.347070000000000e+02
1631087947415201024,1.347000000000000e+02
1631087947647822080,1.346950000000000e+02
1631087947886786560,1.347060000000000e+02
1631087948146911488,1.347220000000000e+02
1631087948405547264,1.347390000000000e+02
1631087948637519104,1.347480000000000e+02
1631087948893706496,1.347530000000000e+02
1631087949148533760,1.347490000000000e+02
1631087949406449920,1.347370000000000e+02
1631087949645980160,1.347290000000000e+02
1631087949901794048,1.347150000000000e+02
1631087950156454912,1.347100000000000e+02
1631087950413788672,1.347070000000000e+02
1631087950646564352,1.347020000000000e+02
1631087950890146048,1.347000000000000e+02
1631087951145418240,1.346940000000000e+02
1631087951403379968,1.346920000000000e+02
1631087951641854208,1.346830000000000e+02
1631087951896813312,1.346870000000000e+02
1631087952152047104,1.346880000000000e+02
1631087952409719296,1.346830000000000e+02
1631087952639823872,1.346860000000000e+02
1631087952895555328,1.346950000000000e+02
1631087953151497728,1.346880000000000e+02
1631087953407807488,1.346730000000000e+02
1631087953664938752,1.346580000000000e+02
1631087953888294656,1.346400000000000e+02
1631087954144121600,1.346260000000000e+02
1631087954399780864,1.346120000000000e+02
1631087954657253632,1.346040000000000e+02
1631087954890835200,1.345910000000000e+02
1631087955147095552,1.345780000000000e+02
1631087955403999488,1.345570000000000e+02
1631087955647606016,1.345410000000000e+02
1631087955903212032,1.345150000000000e+02
1631087956158292992,1.344890000000000e+02
1631087956415408640,1.344570000000000e+02
1631087956656094464,1.344310000000000e+02
1631087956906818816,1.344050000000000e+02
1631087957141672704,1.343800000000000e+02
1631087957398943488,1.343540000000000e+02
1631087957650703872,1.343350000000000e+02
1631087957907420160,1.343110000000000e+02
1631087958141997568,1.342870000000000e+02
1631087958418255104,1.342650000000000e+02
1631087958650865408,1.342290000000000e+02
1631087958883233792,1.341820000000000e+02
1631087959139667968,1.341370000000000e+02
1631087959419476224,1.340950000000000e+02
1631087959651138048,1.340520000000000e+02
1631087959904864256,1.340160000000000e+02
1631087960138743040,1.339810000000000e+02
1631087960416749312,1.339510000000000e+02
1631087960649051136,1.339110000000000e+02
1631087960903021824,1.338700000000000e+02
1631087961156168448,1.338430000000000e+02
1631087961397796608,1.338230000000000e+02
1631087961635732224,1.337930000000000e+02
1631087961891704576,1.337650000000000e+02
1631087962147486208,1.337280000000000e+02
1631087962403644672,1.336960000000000e+02
1631087962657470464,1.336650000000000e+02
1631087962906236416,1.336310000000000e+02
